code,name,market,game_revenue,total_revenue,yoy_growth,ratio,period
00700.HK,腾讯控股,HK,1301.00,4012.43,10.0,32.4,26H1
NTES.US,网易,US,507.00,607.00,8.3,83.5,26H1
002555,三七互娱,A,72.38,72.75,-14.3,99.5,26H1
002602,世纪华通,A,213.42,221.17,29.9,96.5,26H1
002624,完美世界,A,26.39,27.51,-9.2,95.9,26H1
603444,吉比特,A,37.21,37.27,48.0,99.8,26H1
002558,巨人网络,A,46.84,46.89,182.7,99.9,26H1
02400.HK,心动公司,HK,23.18,33.12,11.9,70.0,26H1
09626.HK,哔哩哔哩,HK,29.10,154.10,-13.0,18.9,26H1
00302.HK,中手游,HK,3.33,3.55,-54.5,93.8,26H1
09995.HK,祖龙娱乐,HK,6.09,6.09,-4.1,100.0,26H1
07998.HK,IGG,HK,20.11,25.04,5.5,80.3,26H1
