company_code,segment_name,revenue,yoy_growth,period
00700.HK,国内游戏,927.00,11.0,26H1
00700.HK,海外游戏,374.00,6.0,26H1
002555,境内游戏,42.54,,26H1
002555,境外游戏,30.21,10.9,26H1
002602,移动端游戏,194.81,33.7,26H1
002602,电脑端游戏,17.12,,26H1
002602,网页端游戏,1.07,,26H1
002602,海外收入,143.08,59.7,26H1
002624,PC端网络游戏,14.54,,26H1
002624,移动网络游戏,10.78,,26H1
002624,主机游戏,0.76,,26H1
603444,境内游戏,31.20,,26H1
603444,境外游戏,6.07,201.4,26H1
002558,移动端网络游戏,43.68,236.2,26H1
002558,电脑端网络游戏,2.61,-17.7,26H1
02400.HK,网络游戏,22.00,11.0,26H1
02400.HK,付费游戏,0.83,30.9,26H1
09626.HK,移动游戏,29.10,-13.0,26H1
00302.HK,游戏发行,2.81,-57.3,26H1
00302.HK,游戏开发,0.52,-29.6,26H1
00302.HK,IP授权,0.23,-31.1,26H1
09995.HK,综合游戏发行及运营,5.63,,26H1
09995.HK,开发与授权,0.44,,26H1
07998.HK,王国纪元,8.91,-10.7,26H1
07998.HK,Doomsday: Last Survivors,6.06,33.0,26H1
07998.HK,Viking Rise,3.00,-5.2,26H1
07998.HK,其他游戏,2.13,57.1,26H1
07998.HK,APP业务(非游戏),4.92,6.8,26H1
